letter	accuracy
Agreeableness	0.461041709
Altruism	0.872505957
Cooperation	0.836151644
Modesty	0.506313756
Morality	0.788054349
Sympathy	0.987213496
Trust	0.867472379
Conscientiousness	0.724907385
Achievement striving	0.786506831
Cautiousness	0.907760357
Dutifulness	0.887796668
Orderliness	0.030982259
Self-discipline	0.597265083
Self-efficacy	0.59592259
Extraversion	0.378180238
Activity level	0.913972065
Assertiveness	0.786630448
Cheerfulness	0.310238639
Excitement-seeking	0.097706938
Friendliness	0.556570079
Gregariousness	0.067016545
Neuroticism	0.596364059
Anger	0.057815216
Anxiety	0.33188259
Depression	0.495356097
Immoderation	0.549584671
Self-consciousness	0.595308101
Vulnerability	0.407730979
Openness	0.980898844
Adventurousness	0.67723789
Artistic interests	0.801053427
Emotionality	0.730674245
Imagination	0.282663813
Intellect	0.996748342
Liberalism	0.991737113
Liberty	0.084809173
Ideal	0.193619128
Love	0.108035591
Practicality	0.073527749
Self-expression	0.043994816
Stability	0.182084974
Structure	0.68426744
Challenge	0.315585886
Closeness	0.23232294
Curiosity	0.64479072
Excitement	0.06840219
Harmony	0.097012507
Conservation	0.041755526
Hedonism	0.056908128
Openness to change	0.501871919
Self-enhancement	0.211610072
Self-transcendence	0.458214573
